,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,main_artist,song_name
102,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,3tjFYV6RSFtuktYl3ZtYcq,140526,4,Taylor Swift,Cruel Summer
103,0.823,0.771,9,-6.055,0,0.0365,0.627,0.00101,0.271,0.658,122.015,1MoCNaJBVDOMSMJMhIEjCR,156885,4,Jung Kook,Seven (feat. Latto) (Explicit Ver.)
104,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,7lPN2DXiMsVn7XUKtOW1CS,242014,4,Jain,Makeba
105,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,2tnVG71enUj33Ic2nFN6kZ,157606,4,Olivia Rodrigo,vampire
106,0.652,0.722,0,-7.629,0,0.0316,0.0205,0.0,0.153,0.285,140.966,79pcq6d3893iSt6Jtq50IC,109800,4,FIFTY FIFTY,Cupid - Twin Ver.
107,0.799,0.66,1,-6.153,0,0.079,0.256,0.0,0.111,0.471,140.04,02kDW379Yfd5PzW5A6vuGt,195429,4,Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album]
108,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,1M4OcYkxAtu3ErzSgDEfoi,156945,4,David Kushner,Daylight
109,0.72,0.744,1,-6.938,0,0.12,0.237,0.0,0.255,0.619,78.953,2Lhdl74nwwVGOE2Gv35QuK,243773,4,Lana Del Rey,Say Yes To Heaven
110,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,6f3Slt0GbA2bPZlz0aIFXN,164000,4,Deribb,Say You Love Me - Remix
111,0.668,0.804,10,-5.005,0,0.36,0.0767,0.0,0.194,0.644,123.112,5JfypFrG72bBZ5Z0uLWkeD,118064,4,PinkPantheress,Boy's a Liar Pt. 2
112,0.73,0.907,2,-3.72,1,0.0606,0.0921,0.114,0.23,0.249,120.968,2cSdAkzAf2T4j4aLvx4LLz,111074,4,Libianca,People
113,0.612,0.782,8,-4.618,1,0.0598,0.00261,0.0,0.432,0.321,125.849,3QclFWAS0G1gssGbRYKow8,124881,4,Arctic Monkeys,I Wanna Be Yours
114,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,6tDDoYIxWvMLTdKpjFkc1B,160191,4,Yung Pooda,Somebody
115,0.539,0.615,1,-8.746,0,0.252,0.173,0.0056,0.144,0.493,163.924,6u3CPnFMKANYgfdiifFOiJ,214693,4,Dave,Sprinter
116,0.789,0.742,10,-5.664,0,0.0652,0.0681,0.0,0.166,0.661,116.965,5VipERQ1ofCowecoFg2MVU,167990,4,Peggy Gou,(It Goes Like) Nanana - Edit
117,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,3YJJjQPAbDT7mGpX3WtQ9A,279204,4,Sam Smith,Unholy (feat. Kim Petras)
118,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,1tkg4EHVoqnhR6iFEXb60y,160000,4,Metro Boomin,Creepin' (with The Weeknd & 21 Savage)
119,0.547,0.865,7,-5.058,0,0.0483,0.0141,0.0,0.245,0.638,159.87,3OgPctJpAjlqPsGWl0NeoF,166354,4,Andy Dust,Lucky You
120,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,4Oun2ylbjFKMPTiaSbbCih,187541,4,Lijay,I love freaks (Sexyy’s Version)
121,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,1xQ6trAsedVPCdbtDAmk0c,171375,4,The Weeknd,Die For You - Remix
122,0.81,0.511,5,-6.924,0,0.164,0.12,0.0,0.0832,0.837,151.947,6zFMeegAMYQo0mt8rXtrli,154998,4,SZA,Kill Bill
123,0.806,0.544,9,-8.354,0,0.0624,0.68,2.8e-05,0.11,0.474,100.037,4uvgv5P5mb6zsoS7BlO0K1,168000,4,The Neighbourhood,Sweater Weather
124,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,27OeeYzk6klgBh83TSvGMA,161385,4,Jourdin Pauline,ROCKSTAR
125,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,7ytR5pFWmSjzHJIeQkgog4,181733,4,Miley Cyrus,Flowers
126,0.784,0.679,8,-7.129,0,0.12,0.562,6.71e-06,0.103,0.476,92.023,7krqmxxUvvLUpJzbHgBlws,125217,4,Harry Styles,As It Was
127,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,6Im9k8u9iIzKMrmV7BWtlF,173711,4,Doechii,What It Is (Solo Version)
128,0.613,0.624,11,-6.66,0,0.206,0.496,0.0,0.283,0.803,62.948,4slSrbTK1sNK4I1mDYEthf,167917,5,Nu Aspect,Sinner
129,0.399,0.492,6,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066,1fah1uAs7HeTYDlNftKr3K,210463,4,RAYE,Escapism.
130,0.48,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798,5rZlwNFl01HqLWBQGryKSm,213333,4,Ghost,Mary On A Cross
131,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,54bFM56PmE4YLRnqpW6Tha,174321,4,Oceanside,King
132,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,0PvFJmanyNQMseIFrU708S,190476,4,Devstacks,Where Yo Swag
133,0.819,0.642,5,-7.037,1,0.189,0.336,0.0,0.0735,0.452,138.026,0y9fkzOaaQy4Up22BGUbIp,129241,4,Rema,Calm Down (with Selena Gomez)
134,0.776,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,94.634,4w47S36wQGBhGg073q3nt7,129371,4,KAROL G,TQG
135,0.68,0.729,5,-5.077,1,0.0475,0.612,0.0,0.224,0.446,123.97,4DpNNXFMMxQEKl7r0ykkWA,179867,4,YES YES,Tie me down
136,0.688,0.716,7,-5.702,1,0.0385,0.0969,0.0,0.0989,0.373,116.912,3aA6xB0tOilDDX17fIJ0Bl,284480,3,Nicky Youre,Sunroof
137,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,0y60itmpH0aPKsFiGxmtnh,196520,4,Thierry Von Der Warth,Paradise (feat. Modi)
138,0.853,0.637,3,-5.924,0,0.331,0.129,0.0,0.267,0.496,86.048,1rlIrbWboTRGeKfHhgbJRZ,156195,4,David Guetta,I'm Good (Blue)
139,0.728,0.431,6,-9.966,0,0.0622,0.749,0.0,0.0996,0.629,130.022,5RqR4ZCCKJDcBLIn4sih9l,147800,4,Luke Combs,Fast Car
140,0.693,0.887,1,-5.039,0,0.0795,0.0581,2.71e-06,0.27,0.864,114.942,5pyoxDZ1PX0KxBxiRVxA4U,278282,4,Tom Odell,Another Love
141,0.961,0.461,9,-8.684,1,0.27,0.202,0.00402,0.162,0.324,108.028,0PXukVbYpvz40KcEFKnIw7,207640,4,Coi Leray,Players
142,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,39Yp9wwQiSRIDOvrVg7mbk,165978,4,Sarah de Warren,This Is The Life
143,0.826,0.615,1,-4.729,0,0.137,0.435,0.00631,0.334,0.841,102.999,6vzLbfskWigBsCzNdB0kfE,175884,4,JVKE,golden hour
144,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,78qd8dvwea0Gosb6Fe6j3k,134240,4,Steve Lacy,Bad Habit
145,0.626,0.79,2,-4.302,1,0.0311,0.135,3.97e-06,0.0989,0.416,119.082,3CeCwYWvdfXbZLXFhBrbnf,235767,4,Sade,Smooth Operator - Single Version
146,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,4Hpib09wXgD84w4uwTPnYD,139413,4,Taylor Swift,Anti-Hero
147,0.689,0.292,1,-8.834,1,0.0468,0.518,0.0,0.0837,0.494,81.068,5Qn9MoIUmMMTfztrCTxEbV,123611,4,SZA,Nobody Gets Me
148,0.843,0.741,11,-5.609,1,0.334,0.0252,0.0,0.096,0.68,168.983,55CHeLEfn5iJ0IIkgaa4si,155497,4,Armani White,BILLIE EILISH.
149,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,22LAwLoDA5b4AaGSkg6bKW,162547,4,RIBELLU,Summertime Sadness
